"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"PublishingHouse";"LitPrizeName";"Nomination";"global_id";
"1";"2017";"F20";"Анна Юрьевна Козлова";"2016";"18+";"Рипол Классик";"Национальный бестселлер";"Лучший роман, написанный на русском языке в течение календарного года";"881369459";
"2";"2017";"Патриот";"Андрей Викторович Рубанов";"2017";"18+";"АСТ";"Ясная поляна";"Современная русская проза";"881369518";
"3";"2016";"И с тех пор не расставались. Истории страшные, трогательные и страшно трогательные";"Лея Давидовна Любомирская";"2016";"16+";"АСТ";"Русская премия";"Малая проза 2 место";"881369546";
"4";"2016";"Открытый финал";"Андрей Валентинович Жвалевский Евгения Борисовна Пастернак";"2016";"12+";"Время";"Русская премия";"Малая проза 3 место";"881369570";
"5";"2016";"Тайный год";"Михаил Георгиевич Гиголашвили";"2017";"18+";"АСТ";"Русская премия";"Крупная проза 1 место";"881369580";
"6";"2017";"Ленин. Пантократор солнечных пылинок";"Лев Александрович Данилкин";"2017";"18+";"Молодая гвардия";"Большая книга";"1 место";"881369583";
"7";"2017";"Неизвестность";"Аексей Иванович Слаповский";"2017";"18+";"АСТ";"Большая книга";"Шорт-лист";"881369589";
"8";"2017";"Город Брежнев";"Шамиль Идиатуллин";"2017";"18+";"Азбука";"Большая книга";"3 место";"881369628";
"9";"2017";"Катаев: «Погоня за вечной весной»";"Сергей Александрович Шаргунов";"2016";"18+";"Молодая гвардия";"Большая книга";"2 место";"881369634";
"10";"2017";"Соколиный рубеж";"Сергей Анатольевич Самсонов";"2017";"18+";"Рипол Классик";"Большая книга";"Шорт-лист";"881369641";
"11";"2017";"Современная литература народов России. Поэзия";"";"2017";"16+";"ОГИ";"Книга года";"Книга года";"881369685";
"12";"2017";"Найди и покажи на Руси. 700 слов в помощь школьнику";"Светлана Воскресенская";"2017";"5+";"Клевер-медиа-групп";"Книга года";"Вместе с книгой мы растём";"881369776";
"13";"2017";"Песнь тунгуса";"Олег Николаевич Ермаков";"2017";"18+";"Время";"Ясная поляна";"Специальный приз Samsung";"881369857";
